id,property,needs_translation,default,translated
1413,CONCEPT,u,Bacteroides heparinolyticus,
772,CONCEPT,u,Bacteroides nordii,
685,CONCEPT,u,Bacteroides ovatus,
2903,CONCEPT,u,Bacteroides pectinophilus,
1217,CONCEPT,u,Bacteroides pyogenes,
2904,CONCEPT,u,Bacteroides salyersiae,
2216,CONCEPT,u,Bacteroides stercoris,
2104,CONCEPT,u,Bacteroides thetaiotaomicron,
1027,CONCEPT,u,Bacteroides uniformis,
2009,CONCEPT,u,Bacteroides zoogleoformans,
1739,CONCEPT,u,Balneatrix,
1024,CONCEPT,u,Balneatrix alpica,
1166,CONCEPT,u,Bartonella,
1010,CONCEPT,u,Bartonella bacilliformis,
264,CONCEPT,u,Bartonella clarridgeiae,
2520,CONCEPT,u,Bartonella elizabethae,
1639,CONCEPT,u,Bartonella henselae,
2075,CONCEPT,u,Bartonella quintana,
1535,CONCEPT,u,Bartonella vinsonii,
1326,CONCEPT,u,Basidiobolus,
1670,CONCEPT,u,Basidiobolus haptosporus,
1484,CONCEPT,u,Basidiobolus heterosporus,
1560,CONCEPT,u,Basidiobolus meristosporus,
873,CONCEPT,u,Basidiobolus ranarum,
141,CONCEPT,u,Beauveria,
1012,CONCEPT,u,Beauveria bassiana,
680,CONCEPT,u,Bergeyella,
494,CONCEPT,u,Bergeyella zoohelcum,
2796,CONCEPT,u,Beta-hemolytic streptococci,
2655,CONCEPT,u,Betainfluenzavirus influenzae,
2642,CONCEPT,u,Betapolyomavirus hominis,
3335,CONCEPT,u,Betapolyomavirus macacae,
2682,CONCEPT,u,Betapolyomavirus secuhominis,
3171,CONCEPT,u,Bhargavaea ginsengi,
8,CONCEPT,u,Bifidobacterium,
840,CONCEPT,u,Bifidobacterium adolescentis,
1351,CONCEPT,u,Bifidobacterium angulatum,
419,CONCEPT,u,Bifidobacterium bifidum,
1041,CONCEPT,u,Bifidobacterium breve,
330,CONCEPT,u,Bifidobacterium catenulatum,
1371,CONCEPT,u,Bifidobacterium dentium,
1734,CONCEPT,u,Bifidobacterium gallicum,
1241,CONCEPT,u,Bifidobacterium longum,
3043,CONCEPT,u,Bifidobacterium longum infantis,
3065,CONCEPT,u,Bifidobacterium longum suis,
30,CONCEPT,u,Bifidobacterium pseudocatenulatum,
1173,CONCEPT,u,Bifidobacterium scardovii,
20,CONCEPT,u,Bilophila,
2397,CONCEPT,u,Bilophila wadsworthia,
1424,CONCEPT,u,Bipolaris,
307,CONCEPT,u,Bipolaris spicifera,
3372,CONCEPT,u,Bisifusarium dimerum,
2182,CONCEPT,u,Blastoschizomyces,
1685,CONCEPT,u,Blautia,
667,CONCEPT,u,Blautia coccoides,
168,CONCEPT,u,Blautia hansenii,
631,CONCEPT,u,Blautia producta,
2690,CONCEPT,u,Bocaparvovirus,
249,CONCEPT,u,Bordetella,
189,CONCEPT,u,Bordetella avium,
79,CONCEPT,u,Bordetella bronchiseptica,
2375,CONCEPT,u,Bordetella hinzii,
1963,CONCEPT,u,Bordetella holmesii,
1859,CONCEPT,u,Bordetella parapertussis,
2174,CONCEPT,u,Bordetella pertussis,
1577,CONCEPT,u,Bordetella petrii,
1744,CONCEPT,u,Bordetella trematum,
1507,CONCEPT,u,Borrelia,
560,CONCEPT,u,Borrelia afzelii,
938,CONCEPT,u,Borrelia anserina,
834,CONCEPT,u,Borrelia burgdorferi,
162,CONCEPT,u,Borrelia caucasica,
1649,CONCEPT,u,Borrelia coriaceae,
1555,CONCEPT,u,Borrelia crocidurae,
1276,CONCEPT,u,Borrelia duttonii,
2276,CONCEPT,u,Borrelia garinii,
1950,CONCEPT,u,Borrelia hermsii,
321,CONCEPT,u,Borrelia hispanica,
1663,CONCEPT,u,Borrelia japonica,
2151,CONCEPT,u,Borrelia lusitaniae,
1070,CONCEPT,u,Borrelia mazzottii,
719,CONCEPT,u,Borrelia miyamotoi,
1989,CONCEPT,u,Borrelia parkeri,
154,CONCEPT,u,Borrelia recurrentis,
2103,CONCEPT,u,Borrelia tanukii,
1980,CONCEPT,u,Borrelia theileri,
1520,CONCEPT,u,Borrelia turicatae,
1487,CONCEPT,u,Borrelia valaisiana,
870,CONCEPT,u,Borrelia venezuelensis,
1714,CONCEPT,u,Botryodiplodia,
3038,CONCEPT,u,Bowdeniella nasicola,
1841,CONCEPT,u,Brachybacterium,
2595,CONCEPT,u,Brachybacterium muris,
128,CONCEPT,u,Brachyspira,
225,CONCEPT,u,Brachyspira aalborgi,
984,CONCEPT,u,Brachyspira pilosicoli,
493,CONCEPT,u,Brevibacillus,
962,CONCEPT,u,Brevibacillus agri,
1486,CONCEPT,u,Brevibacillus brevis,
1687,CONCEPT,u,Brevibacillus centrosporus,
1557,CONCEPT,u,Brevibacillus laterosporus,
389,CONCEPT,u,Brevibacillus parabrevis,
1251,CONCEPT,u,Brevibacterium,
75,CONCEPT,u,Brevibacterium casei,
1643,CONCEPT,u,Brevibacterium epidermidis,
721,CONCEPT,u,Brevibacterium linens,
531,CONCEPT,u,Brevibacterium luteolum,
2541,CONCEPT,u,Brevibacterium mcbrellneri,
1673,CONCEPT,u,Brevibacterium ravenspurgense,
692,CONCEPT,u,Brevibacterium sanguinis,
2985,CONCEPT,u,Brevibacterium vitaeruminis,
340,CONCEPT,u,Brevundimonas,
2548,CONCEPT,u,Brevundimonas diminuta,
2193,CONCEPT,u,Brevundimonas vesicularis,
1316,CONCEPT,u,Brucella,
3176,CONCEPT,u,Brucella anthropi,
3317,CONCEPT,u,Brucella intermedia,
556,CONCEPT,u,Brucella melitensis,
2706,CONCEPT,u,Budvicia,
2707,CONCEPT,u,Budvicia aquatica,
2419,CONCEPT,u,Bulleidia,
147,CONCEPT,u,Bulleidia extructa,
2124,CONCEPT,u,Burkholderia,
720,CONCEPT,u,Burkholderia ambifaria,
302,CONCEPT,u,Burkholderia anthina,
1933,CONCEPT,u,Burkholderia arboris,
411,CONCEPT,u,Burkholderia cenocepacia,
2117,CONCEPT,u,Burkholderia cepacia,
2940,CONCEPT,u,Burkholderia cepacia complex,
1444,CONCEPT,u,Burkholderia contaminans,
1068,CONCEPT,u,Burkholderia diffusa,
1488,CONCEPT,u,Burkholderia dolosa,
1427,CONCEPT,u,Burkholderia gladioli,
251,CONCEPT,u,Burkholderia lata,
2567,CONCEPT,u,Burkholderia latens,
1150,CONCEPT,u,Burkholderia mallei,
426,CONCEPT,u,Burkholderia metallica,
2039,CONCEPT,u,Burkholderia multivorans,
2253,CONCEPT,u,Burkholderia pseudomallei,
2963,CONCEPT,u,Burkholderia pyrrocinia,
2105,CONCEPT,u,Burkholderia stabilis,
1396,CONCEPT,u,Burkholderia thailandensis,
395,CONCEPT,u,Burkholderia ubonensis,
1137,CONCEPT,u,Burkholderia vietnamiensis,
2420,CONCEPT,u,Buttiauxella,
646,CONCEPT,u,Buttiauxella agrestis,
245,CONCEPT,u,Buttiauxella brennerae,
896,CONCEPT,u,Buttiauxella ferragutiae,
2371,CONCEPT,u,Buttiauxella gaviniae,
1854,CONCEPT,u,Buttiauxella izardii,
820,CONCEPT,u,Buttiauxella noackiae,
1239,CONCEPT,u,Buttiauxella warmboldiae,
606,CONCEPT,u,Butyricimonas,
2060,CONCEPT,u,Butyricimonas virosa,
1965,CONCEPT,u,Butyrivibrio,
1022,CONCEPT,u,Butyrivibrio fibrisolvens,
1171,CONCEPT,u,Butyrivibrio hungatei,
2680,CONCEPT,u,Caliciviridae,
3334,CONCEPT,u,California encephalitis orthobunyavirus,
1229,CONCEPT,u,Campylobacter,
2220,CONCEPT,u,Campylobacter coli,
1521,CONCEPT,u,Campylobacter concisus,
1458,CONCEPT,u,Campylobacter curvus,
2381,CONCEPT,u,Campylobacter fetus,
1993,CONCEPT,u,Campylobacter fetus fetus,
1023,CONCEPT,u,Campylobacter fetus venerealis,
1074,CONCEPT,u,Campylobacter gracilis,
651,CONCEPT,u,Campylobacter helveticus,
2201,CONCEPT,u,Campylobacter hominis,
262,CONCEPT,u,Campylobacter hyointestinalis,
1874,CONCEPT,u,Campylobacter insulaenigrae,
47,CONCEPT,u,Campylobacter jejuni,
492,CONCEPT,u,Campylobacter jejuni doylei,
1461,CONCEPT,u,Campylobacter jejuni jejuni,
1746,CONCEPT,u,Campylobacter lanienae,
707,CONCEPT,u,Campylobacter lari,
441,CONCEPT,u,Campylobacter mucosalis,
95,CONCEPT,u,Campylobacter rectus,
2495,CONCEPT,u,Campylobacter showae,
2335,CONCEPT,u,Campylobacter sputorum,
22,CONCEPT,u,Campylobacter sputorum bubulus,
540,CONCEPT,u,Campylobacter sputorum sputorum,
1405,CONCEPT,u,Campylobacter upsaliensis,
471,CONCEPT,u,Campylobacter ureolyticus,
2273,CONCEPT,u,Candida albicans,
1183,CONCEPT,u,Candida auris,
2037,CONCEPT,u,Candida bracarensis,
730,CONCEPT,u,Candida brumptii,
2511,CONCEPT,u,Candida dubliniensis,
3362,CONCEPT,u,Candida duobushaemulonis,
512,CONCEPT,u,Candida fabianii,
2078,CONCEPT,u,Candida glabrata,
3380,CONCEPT,u,Candida haemuloni,
1805,CONCEPT,u,Candida inconspicua,
1466,CONCEPT,u,Candida intermedia,
1312,CONCEPT,u,Candida metapsilosis,
1322,CONCEPT,u,Candida nivariensis,
2427,CONCEPT,u,Candida orthopsilosis,
1197,CONCEPT,u,Candida parapsilosis,
2701,CONCEPT,u,Candida parapsilosis complex,
1055,CONCEPT,u,Candida pararugosa,
3348,CONCEPT,u,Candida pintolopesii var. pintolopesii,
550,CONCEPT,u,Candida sake,
3367,CONCEPT,u,Candida slooffiae,
181,CONCEPT,u,Candida tropicalis,
94,CONCEPT,u,Candida zeylanoides,
3135,CONCEPT,u,Canicola haemoglobinophilus,
2177,CONCEPT,u,Capnocytophaga,
29,CONCEPT,u,Capnocytophaga canimorsus,
1905,CONCEPT,u,Capnocytophaga cynodegmi,
755,CONCEPT,u,Capnocytophaga gingivalis,
1518,CONCEPT,u,Capnocytophaga granulosa,
1139,CONCEPT,u,Capnocytophaga haemolytica,
61,CONCEPT,u,Capnocytophaga ochracea,
499,CONCEPT,u,Capnocytophaga sputigena,
1020,CONCEPT,u,Cardiobacterium,
2141,CONCEPT,u,Cardiobacterium hominis,
836,CONCEPT,u,Cardiobacterium valvarum,
177,CONCEPT,u,Catenibacterium,
384,CONCEPT,u,Catenibacterium mitsuokai,
935,CONCEPT,u,Catonella,
91,CONCEPT,u,Catonella morbi,
904,CONCEPT,u,Cedecea,
459,CONCEPT,u,Cedecea davisae,
1556,CONCEPT,u,Cedecea lapagei,
1944,CONCEPT,u,Cedecea neteri,
392,CONCEPT,u,Cellulomonas,
2440,CONCEPT,u,Cellulomonas hominis,
1662,CONCEPT,u,Cellulomonas humilata,
1315,CONCEPT,u,Cellulosimicrobium,
1271,CONCEPT,u,Cellulosimicrobium cellulans,
2014,CONCEPT,u,Centipeda,
179,CONCEPT,u,Centipeda periodontii,
1231,CONCEPT,u,Cephalosporium,
2575,CONCEPT,u,Chaetomium,
1732,CONCEPT,u,Chaetomium globosum,
916,CONCEPT,u,Chikungunya virus,
2165,CONCEPT,u,Chlamydia,
3324,CONCEPT,u,Chlamydia abortus,
1758,CONCEPT,u,Chlamydia pneumoniae,
1766,CONCEPT,u,Chlamydia psittaci,
2325,CONCEPT,u,Chlamydia trachomatis,
3020,CONCEPT,u,Christensenella,
3163,CONCEPT,u,Christensenella hongkongensis,
1524,CONCEPT,u,Chromobacterium,
453,CONCEPT,u,Chromobacterium violaceum,
2384,CONCEPT,u,Chryseobacterium,
2544,CONCEPT,u,Chryseobacterium gleum,
294,CONCEPT,u,Chryseobacterium indologenes,
417,CONCEPT,u,Chryseomonas,
1254,CONCEPT,u,Chryseomonas luteola,
1457,CONCEPT,u,Chrysosporium,
1940,CONCEPT,u,Citrobacter,
1302,CONCEPT,u,Citrobacter amalonaticus,
841,CONCEPT,u,Citrobacter braakii,
292,CONCEPT,u,Citrobacter farmeri,
1430,CONCEPT,u,Citrobacter freundii,
1079,CONCEPT,u,Citrobacter gillenii,
1747,CONCEPT,u,Citrobacter koseri,
1810,CONCEPT,u,Citrobacter murliniae,
2712,CONCEPT,u,Citrobacter pasteurii,
131,CONCEPT,u,Citrobacter rodentium,
2400,CONCEPT,u,Citrobacter sedlakii,
1432,CONCEPT,u,Citrobacter werkmanii,
1014,CONCEPT,u,Citrobacter youngae,
1500,CONCEPT,u,Cladophialophora,
2224,CONCEPT,u,Cladophialophora bantiana,
1335,CONCEPT,u,Cladosporium,
729,CONCEPT,u,Cladosporium cladosporioides,
1233,CONCEPT,u,Cladosporium herbarum,
888,CONCEPT,u,Cladosporium sphaerospermum,
1127,CONCEPT,u,Clavispora,
2157,CONCEPT,u,Clavispora lusitaniae,
1382,CONCEPT,u,Clostridioides,
594,CONCEPT,u,Clostridioides difficile,
1098,CONCEPT,u,Clostridium,
2817,CONCEPT,u,Clostridium aldenense,
2818,CONCEPT,u,Clostridium amygdalinum,
2278,CONCEPT,u,Clostridium argentinense,
1511,CONCEPT,u,Clostridium baratii,
1654,CONCEPT,u,Clostridium beijerinckii,
142,CONCEPT,u,Clostridium botulinum,
3170,CONCEPT,u,Clostridium budayi,
1538,CONCEPT,u,Clostridium butyricum,
2018,CONCEPT,u,Clostridium cadaveris,
21,CONCEPT,u,Clostridium carnis,
2819,CONCEPT,u,Clostridium celatum,
2820,CONCEPT,u,Clostridium chauvoei,
1490,CONCEPT,u,Clostridium cochlearium,
253,CONCEPT,u,Clostridium cocleatum,
2823,CONCEPT,u,Clostridium combesii,
1612,CONCEPT,u,Clostridium disporicum,
224,CONCEPT,u,Clostridium fallax,
714,CONCEPT,u,Clostridium haemolyticum,
2824,CONCEPT,u,Clostridium hydrogeniformans,
1682,CONCEPT,u,Clostridium innocuum,
2249,CONCEPT,u,Clostridium intestinale,
1426,CONCEPT,u,Clostridium leptum,
1629,CONCEPT,u,Clostridium malenominatum,
3111,CONCEPT,u,Clostridium moniliforme,
2827,CONCEPT,u,Clostridium neonatale,
1078,CONCEPT,u,Clostridium novyi,
284,CONCEPT,u,Clostridium paraputrificum,
430,CONCEPT,u,Clostridium perfringens,
999,CONCEPT,u,Clostridium putrefaciens,
1091,CONCEPT,u,Clostridium ramosum,
833,CONCEPT,u,Clostridium sardiniense,
1462,CONCEPT,u,Clostridium septicum,
1966,CONCEPT,u,Clostridium spiroforme,
1129,CONCEPT,u,Clostridium sporogenes,
726,CONCEPT,u,Clostridium sporosphaeroides,
2312,CONCEPT,u,Clostridium subterminale,
454,CONCEPT,u,Clostridium symbiosum,
519,CONCEPT,u,Clostridium tertium,
42,CONCEPT,u,Clostridium tetani,
2776,CONCEPT,u,Coagulase-negative staphylococcus,
